status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,669120,2,1,,"10 Taber St Unit 501, Boston, MA, 02119",10 Taber St Unit 501,Boston,Massachusetts,2119,984,
for_sale,959900,2,3,,"29 Rowell Ln Unit 29, Middleton, MA, 01949",29 Rowell Ln Unit 29,Middleton,Massachusetts,1949,2538,
for_sale,5950000,4,5,0.06,"400 Stuart St Unit 26A, Boston, MA, 02116",400 Stuart St Unit 26A,Boston,Massachusetts,2116,2428,
for_sale,879000,3,3,,"17-31 Charles Park Rd Unit 186, Boston, MA, 02132",17-31 Charles Park Rd Unit 186,Boston,Massachusetts,2132,1844,
for_sale,990000,4,2,0.03,"794R Shawmut Ave, Boston, MA, 02119",794R Shawmut Ave,Boston,Massachusetts,2119,2428,
for_sale,463725,1,1,,"10 Taber St Unit 403, Boston, MA, 02119",10 Taber St Unit 403,Boston,Massachusetts,2119,678,
for_sale,1975000,2,2,,"566 Columbus Ave Unit 413, Boston, MA, 02118",566 Columbus Ave Unit 413,Boston,Massachusetts,2118,1441,
for_sale,599000,3,2,0.1,"7 Larch Pl, Boston, MA, 02131",7 Larch Pl,Boston,Massachusetts,2131,1294,
for_sale,1950000,8,4,0.07,"155 Centre St, Boston, MA, 02119",155 Centre St,Boston,Massachusetts,2119,3096,
for_sale,997000,5,3,0.32,"13 Botolph St, Melrose, MA, 02176",13 Botolph St,Melrose,Massachusetts,2176,3200,
for_sale,674900,5,2,0.14,"164 Bradford St, Everett, MA, 02149",164 Bradford St,Everett,Massachusetts,2149,2138,
for_sale,875000,2,3,0.41,"19 Dunstan St Unit 17, Newton, MA, 02465",19 Dunstan St Unit 17,Newton,Massachusetts,2465,1806,
for_sale,840000,3,2,0.14,"70 Saltonstall Rd, Medford, MA, 02155",70 Saltonstall Rd,Medford,Massachusetts,2155,1726,
for_sale,738000,5,3,0.07,"8 Gellineau St, Malden, MA, 02148",8 Gellineau St,Malden,Massachusetts,2148,1973,
for_sale,725000,4,3,0.11,"68-68A Vernon St, Wakefield, MA, 01880",68-68A Vernon St,Wakefield,Massachusetts,1880,2109,
for_sale,900000,3,3,,"25 Fuller Rd Unit 25, Watertown, MA, 02472",25 Fuller Rd Unit 25,Watertown,Massachusetts,2472,2540,
